gender,ethnicity,birth,stark,readk,mathk,lunchk,schoolk,degreek,ladderk,experiencek,tethnicityk,schoolidk
female,cauc,1980 Q1,small,447.0,473.0,non-free,rural,bachelor,level1,7.0,cauc,63.0
female,afam,1979 Q4,small,450.0,536.0,non-free,suburban,bachelor,level1,21.0,cauc,20.0
male,afam,1980 Q1,regular+aide,439.0,463.0,free,inner-city,bachelor,probation,0.0,cauc,19.0
male,cauc,1980 Q2,regular,448.0,559.0,non-free,rural,bachelor,level1,16.0,cauc,69.0
male,cauc,1980 Q2,small,447.0,489.0,free,rural,bachelor,level1,5.0,cauc,79.0
male,cauc,1980 Q2,regular,431.0,454.0,free,rural,bachelor,level1,8.0,cauc,5.0
female,afam,1980 Q2,regular+aide,395.0,423.0,free,inner-city,master,level1,17.0,cauc,16.0
female,cauc,1980 Q1,regular,451.0,500.0,non-free,rural,bachelor,apprentice,3.0,afam,56.0
female,afam,1980 Q3,small,478.0,439.0,non-free,rural,bachelor,level1,11.0,cauc,11.0
female,cauc,1980 Q3,small,455.0,528.0,non-free,rural,bachelor,level1,10.0,cauc,66.0
male,cauc,1980 Q1,regular,430.0,473.0,non-free,rural,master,level1,13.0,cauc,38.0
male,cauc,1980 Q3,regular+aide,437.0,468.0,non-free,rural,master,level1,6.0,cauc,69.0
female,afam,1980 Q1,regular,,,free,inner-city,bachelor,,9.0,afam,28.0
male,cauc,1980 Q1,small,474.0,559.0,non-free,suburban,bachelor,probation,0.0,cauc,43.0
male,cauc,1980 Q1,small,424.0,494.0,non-free,rural,bachelor,level1,6.0,cauc,71.0
male,cauc,1979 Q3,regular+aide,490.0,528.0,non-free,suburban,bachelor,level1,18.0,cauc,52.0
male,cauc,1980 Q3,regular,439.0,484.0,non-free,suburban,master,level1,13.0,cauc,54.0
female,cauc,1979 Q4,regular+aide,424.0,459.0,free,rural,bachelor,level1,12.0,cauc,12.0
female,afam,1980 Q3,regular,437.0,528.0,free,suburban,bachelor,apprentice,1.0,afam,21.0
female,cauc,1980 Q2,small,422.0,478.0,non-free,rural,master,level1,8.0,cauc,76.0
male,cauc,1979 Q4,regular,424.0,559.0,free,rural,bachelor,level1,13.0,cauc,79.0
male,cauc,1980 Q2,regular,,,non-free,rural,bachelor,,5.0,cauc,1.0
male,cauc,1980 Q2,regular,431.0,454.0,non-free,rural,master,level1,13.0,cauc,8.0
male,cauc,1980 Q1,regular+aide,451.0,473.0,non-free,rural,bachelor,level1,3.0,cauc,66.0
male,cauc,1980 Q1,small,456.0,602.0,free,urban,master,level1,14.0,cauc,59.0
female,afam,1980 Q2,regular+aide,421.0,459.0,free,inner-city,bachelor,level1,11.0,cauc,31.0
male,afam,1980 Q2,regular+aide,463.0,576.0,free,inner-city,bachelor,level1,10.0,afam,27.0
female,afam,1980 Q1,regular+aide,425.0,520.0,non-free,suburban,bachelor,level1,8.0,afam,17.0
female,cauc,1979 Q4,regular,522.0,559.0,non-free,urban,bachelor,level1,8.0,cauc,9.0
female,cauc,1980 Q2,regular+aide,413.0,459.0,non-free,rural,master,level1,5.0,cauc,39.0
male,cauc,1980 Q3,regular,416.0,513.0,non-free,rural,master,level1,13.0,cauc,55.0
female,afam,1980 Q4,regular,419.0,423.0,free,inner-city,bachelor,probation,0.0,afam,27.0
female,cauc,1980 Q3,regular+aide,431.0,494.0,non-free,suburban,bachelor,level1,3.0,cauc,58.0
